2025-04-02 10:05:15,968 - INFO - Directorio de entrada creado: pdfs_originales
2025-04-02 10:05:18,829 - WARNING - No se encontraron PDFs en pdfs_originales
2025-04-02 10:05:52,296 - INFO - Página 1, Imagen 1: Texto alternativo asignado: 'Eurostars Images 1'
2025-04-02 10:05:52,297 - INFO - Página 1, Imagen 2: Texto alternativo asignado: 'Eurostars Images 2'
2025-04-02 10:05:52,297 - INFO - Página 1, Imagen 3: Texto alternativo asignado: 'Eurostars Images 3'
2025-04-02 10:05:52,297 - INFO - Página 1, Imagen 4: Texto alternativo asignado: 'Eurostars Images 4'
2025-04-02 10:05:52,297 - INFO - Página 1, Imagen 5: Texto alternativo asignado: 'Eurostars Images 5'
2025-04-02 10:05:52,298 - INFO - Página 1, Imagen 6: Texto alternativo asignado: 'Eurostars Images 6'
2025-04-02 10:05:52,298 - INFO - Página 1, Imagen 7: Texto alternativo asignado: 'Eurostars Images 7'
2025-04-02 10:05:52,298 - INFO - Página 1, Imagen 8: Texto alternativo asignado: 'Eurostars Images 8'
2025-04-02 10:05:52,298 - INFO - Página 1, Imagen 9: Texto alternativo asignado: 'Eurostars Images 9'
2025-04-02 10:05:52,298 - INFO - Página 1, Imagen 10: Texto alternativo asignado: 'Eurostars Images 10'
2025-04-02 10:05:52,298 - INFO - Página 1, Imagen 11: Texto alternativo asignado: 'Eurostars Images 11'
2025-04-02 10:05:52,298 - INFO - Página 1, Imagen 12: Texto alternativo asignado: 'Eurostars Images 12'
2025-04-02 10:05:52,298 - INFO - Página 1, Imagen 13: Texto alternativo asignado: 'Eurostars Images 13'
2025-04-02 10:05:52,298 - INFO - Página 1, Imagen 14: Texto alternativo asignado: 'Eurostars Images 14'
2025-04-02 10:05:52,298 - INFO - Página 1, Imagen 15: Texto alternativo asignado: 'Eurostars Images 15'
2025-04-02 10:05:52,298 - INFO - Página 1, Imagen 16: Texto alternativo asignado: 'Eurostars Images 16'
2025-04-02 10:05:52,298 - INFO - Página 1, Imagen 17: Texto alternativo asignado: 'Eurostars Images 17'
2025-04-02 10:05:52,298 - INFO - Página 1, Imagen 18: Texto alternativo asignado: 'Eurostars Images 18'
2025-04-02 10:05:52,298 - INFO - Página 1, Imagen 19: Texto alternativo asignado: 'Eurostars Images 19'
2025-04-02 10:05:52,298 - INFO - Página 1, Imagen 20: Texto alternativo asignado: 'Eurostars Images 20'
2025-04-02 10:05:52,299 - INFO - Página 1, Imagen 21: Texto alternativo asignado: 'Eurostars Images 21'
2025-04-02 10:05:52,299 - INFO - Página 1, Imagen 22: Texto alternativo asignado: 'Eurostars Images 22'
2025-04-02 10:05:52,299 - INFO - Página 1, Imagen 23: Texto alternativo asignado: 'Eurostars Images 23'
2025-04-02 10:05:52,299 - INFO - Página 1, Imagen 24: Texto alternativo asignado: 'Eurostars Images 24'
2025-04-02 10:05:52,299 - INFO - Página 1, Imagen 25: Texto alternativo asignado: 'Eurostars Images 25'
2025-04-02 10:05:52,299 - INFO - Página 1, Imagen 26: Texto alternativo asignado: 'Eurostars Images 26'
2025-04-02 10:05:52,299 - INFO - Página 1, Imagen 27: Texto alternativo asignado: 'Eurostars Images 27'
2025-04-02 10:05:52,299 - INFO - Página 1, Imagen 28: Texto alternativo asignado: 'Eurostars Images 28'
2025-04-02 10:05:52,299 - INFO - Página 1, Imagen 29: Texto alternativo asignado: 'Eurostars Images 29'
2025-04-02 10:05:52,299 - INFO - Página 1, Imagen 30: Texto alternativo asignado: 'Eurostars Images 30'
2025-04-02 10:05:52,299 - INFO - Página 1, Imagen 31: Texto alternativo asignado: 'Eurostars Images 31'
2025-04-02 10:05:52,299 - INFO - Página 1, Imagen 32: Texto alternativo asignado: 'Eurostars Images 32'
2025-04-02 10:05:52,299 - INFO - Página 1, Imagen 33: Texto alternativo asignado: 'Eurostars Images 33'
2025-04-02 10:05:52,299 - INFO - Página 1, Imagen 34: Texto alternativo asignado: 'Eurostars Images 34'
2025-04-02 10:05:52,299 - INFO - Página 1, Imagen 35: Texto alternativo asignado: 'Eurostars Images 35'
2025-04-02 10:05:52,299 - INFO - Página 1, Imagen 36: Texto alternativo asignado: 'Eurostars Images 36'
2025-04-02 10:05:52,299 - INFO - Página 1, Imagen 37: Texto alternativo asignado: 'Eurostars Images 37'
2025-04-02 10:05:52,299 - INFO - Página 1, Imagen 38: Texto alternativo asignado: 'Eurostars Images 38'
2025-04-02 10:05:52,299 - INFO - Página 1, Imagen 39: Texto alternativo asignado: 'Eurostars Images 39'
2025-04-02 10:05:52,299 - INFO - Página 1, Imagen 40: Texto alternativo asignado: 'Eurostars Images 40'
2025-04-02 10:05:52,299 - INFO - Página 1, Imagen 41: Texto alternativo asignado: 'Eurostars Images 41'
2025-04-02 10:05:52,299 - INFO - Página 1, Imagen 42: Texto alternativo asignado: 'Eurostars Images 42'
2025-04-02 10:05:52,299 - INFO - Página 1, Imagen 43: Texto alternativo asignado: 'Eurostars Images 43'
2025-04-02 10:05:52,299 - INFO - Página 1, Imagen 44: Texto alternativo asignado: 'Eurostars Images 44'
2025-04-02 10:05:52,299 - INFO - Página 1, Imagen 45: Texto alternativo asignado: 'Eurostars Images 45'
2025-04-02 10:05:52,300 - INFO - Página 1, Imagen 46: Texto alternativo asignado: 'Eurostars Images 46'
2025-04-02 10:05:52,300 - INFO - Página 1, Imagen 47: Texto alternativo asignado: 'Eurostars Images 47'
2025-04-02 10:05:52,300 - INFO - Página 1, Imagen 48: Texto alternativo asignado: 'Eurostars Images 48'
2025-04-02 10:05:52,300 - INFO - Página 1, Imagen 49: Texto alternativo asignado: 'Eurostars Images 49'
2025-04-02 10:05:52,300 - INFO - Página 1, Imagen 50: Texto alternativo asignado: 'Eurostars Images 50'
2025-04-02 10:05:52,300 - INFO - Página 1, Imagen 51: Texto alternativo asignado: 'Eurostars Images 51'
2025-04-02 10:05:52,300 - INFO - Página 1, Imagen 52: Texto alternativo asignado: 'Eurostars Images 52'
2025-04-02 10:05:52,300 - INFO - Página 1, Imagen 53: Texto alternativo asignado: 'Eurostars Images 53'
2025-04-02 10:05:52,300 - INFO - Página 1, Imagen 54: Texto alternativo asignado: 'Eurostars Images 54'
2025-04-02 10:05:52,300 - INFO - Página 1, Imagen 55: Texto alternativo asignado: 'Eurostars Images 55'
2025-04-02 10:05:52,300 - INFO - Página 1, Imagen 56: Texto alternativo asignado: 'Eurostars Images 56'
2025-04-02 10:05:52,300 - INFO - Página 1, Imagen 57: Texto alternativo asignado: 'Eurostars Images 57'
2025-04-02 10:05:52,300 - INFO - Página 1, Imagen 58: Texto alternativo asignado: 'Eurostars Images 58'
2025-04-02 10:05:52,301 - INFO - Página 1, Imagen 59: Texto alternativo asignado: 'Eurostars Images 59'
2025-04-02 10:05:52,301 - INFO - Página 1, Imagen 60: Texto alternativo asignado: 'Eurostars Images 60'
2025-04-02 10:05:52,301 - INFO - Página 1, Imagen 61: Texto alternativo asignado: 'Eurostars Images 61'
2025-04-02 10:05:52,301 - INFO - Página 1, Imagen 62: Texto alternativo asignado: 'Eurostars Images 62'
2025-04-02 10:05:52,301 - INFO - Página 1, Imagen 63: Texto alternativo asignado: 'Eurostars Images 63'
2025-04-02 10:05:52,301 - INFO - Página 1, Imagen 64: Texto alternativo asignado: 'Eurostars Images 64'
2025-04-02 10:05:52,301 - INFO - Página 1, Imagen 65: Texto alternativo asignado: 'Eurostars Images 65'
2025-04-02 10:05:52,301 - INFO - Página 1, Imagen 66: Texto alternativo asignado: 'Eurostars Images 66'
2025-04-02 10:05:52,301 - INFO - Página 1, Imagen 67: Texto alternativo asignado: 'Eurostars Images 67'
2025-04-02 10:05:52,301 - INFO - Página 1, Imagen 68: Texto alternativo asignado: 'Eurostars Images 68'
2025-04-02 10:05:52,301 - INFO - Página 1, Imagen 69: Texto alternativo asignado: 'Eurostars Images 69'
2025-04-02 10:05:52,301 - INFO - Página 1, Imagen 70: Texto alternativo asignado: 'Eurostars Images 70'
2025-04-02 10:05:52,301 - INFO - Página 1, Imagen 71: Texto alternativo asignado: 'Eurostars Images 71'
2025-04-02 10:05:52,302 - INFO - Página 1, Imagen 72: Texto alternativo asignado: 'Eurostars Images 72'
2025-04-02 10:05:52,302 - INFO - Página 1, Imagen 73: Texto alternativo asignado: 'Eurostars Images 73'
2025-04-02 10:05:52,302 - INFO - Página 1, Imagen 74: Texto alternativo asignado: 'Eurostars Images 74'
2025-04-02 10:05:52,302 - INFO - Página 1, Imagen 75: Texto alternativo asignado: 'Eurostars Images 75'
2025-04-02 10:05:52,302 - INFO - Página 1, Imagen 76: Texto alternativo asignado: 'Eurostars Images 76'
2025-04-02 10:05:52,302 - INFO - Página 1, Imagen 77: Texto alternativo asignado: 'Eurostars Images 77'
2025-04-02 10:05:52,302 - INFO - Página 1, Imagen 78: Texto alternativo asignado: 'Eurostars Images 78'
2025-04-02 10:05:52,302 - INFO - Página 1, Imagen 79: Texto alternativo asignado: 'Eurostars Images 79'
